misProyectos/ejer4-template/out/ejer4-template.elf	0x10000170	0x00000001	b	ledState
misProyectos/ejer4-template/out/ejer4-template.elf	0x1a0005b8	0x00000008	t	schedulerGoToSleep
misProyectos/ejer4-template/out/ejer4-template.elf	0x10000030	0x000000f5	d	menu
misProyectos/ejer4-template/out/ejer4-template.elf	0x1000017d	0x00000001	b	debugPrint
misProyectos/ejer4-template/out/ejer4-template.elf	0x1a0008f4	0x00000002	t	errorOcurred
misProyectos/ejer4-template/out/ejer4-template.elf	0x1a0008f8	0x00000002	t	doNothing
misProyectos/ejer4-template/out/ejer4-template.elf	0x1a002ec4	0x00000030	t	timer_sd
misProyectos/ejer4-template/out/ejer4-template.elf	0x10000128	0x00000040	d	timer_dd
misProyectos/ejer4-template/out/ejer4-template.elf	0x10000180	0x00000011	b	result.10353
misProyectos/ejer4-template/out/ejer4-template.elf	0x1a001118	0x0000002c	t	gpioObtainPinConfig
misProyectos/ejer4-template/out/ejer4-template.elf	0x1a0013a8	0x00000040	t	Board_LED_Init
misProyectos/ejer4-template/out/ejer4-template.elf	0x1a00308c	0x0000000c	t	gpioLEDBits
misProyectos/ejer4-template/out/ejer4-template.elf	0x1a0030a8	0x00000060	t	pinmuxing
misProyectos/ejer4-template/out/ejer4-template.elf	0x1a003108	0x0000000c	t	InitClkStates
misProyectos/ejer4-template/out/ejer4-template.elf	0x1a001680	0x0000002c	t	Chip_UART_GetIndex
misProyectos/ejer4-template/out/ejer4-template.elf	0x1a0016ac	0x00000048	t	Chip_UART_ABIntHandler
misProyectos/ejer4-template/out/ejer4-template.elf	0x1a003114	0x00000008	t	UART_PClock
misProyectos/ejer4-template/out/ejer4-template.elf	0x1a00311c	0x00000008	t	UART_BClock
misProyectos/ejer4-template/out/ejer4-template.elf	0x10000194	0x00000001	b	ABsyncSts
misProyectos/ejer4-template/out/ejer4-template.elf	0x1a001be0	0x00000034	t	Chip_USB_PllSetup
misProyectos/ejer4-template/out/ejer4-template.elf	0x1a003124	0x00000014	t	usbPLLSetup
misProyectos/ejer4-template/out/ejer4-template.elf	0x1a001ca4	0x000000a8	t	pll_calc_divs
misProyectos/ejer4-template/out/ejer4-template.elf	0x1a001d4c	0x00000104	t	pll_get_frac
misProyectos/ejer4-template/out/ejer4-template.elf	0x1a001e50	0x00000024	t	Chip_Clock_TestMainPLLMultiplier
misProyectos/ejer4-template/out/ejer4-template.elf	0x1a001e74	0x00000048	t	Chip_Clock_FindBaseClock
misProyectos/ejer4-template/out/ejer4-template.elf	0x1a00229c	0x00000022	t	Chip_Clock_GetDivRate
misProyectos/ejer4-template/out/ejer4-template.elf	0x1a003138	0x0000006c	t	periph_to_base
misProyectos/ejer4-template/out/ejer4-template.elf	0x10000198	0x00000008	b	audio_usb_pll_freq
